source,target,state,type
1,2,I,4.24
129,130,I,4.28
129,132,I,4.35
129,161,I,4.45
129,128,I,4.68
129,163,I,4.75
129,133,K,5.84
134,135,J,7.63
2,55,I,7.67
1,3,L,7.84
128,78,I,8.51
130,131,I,8.70
163,148,I,8.76
2,52,I,9.00
163,160,L,9.92
163,162,L,10.08
161,159,I,10.14
163,105,L,10.56
163,168,L,11.06
133,47,J,11.11
2,33,J,11.13
52,198,I,11.93
55,53,I,12.32
3,141,I,12.62
55,54,L,14.12
55,173,L,14.35
148,149,J,14.38
105,104,I,14.74
168,57,I,14.95
47,200,I,14.97
148,186,J,14.99
105,98,I,15.07
168,170,I,15.32
47,46,I,15.35
168,172,I,15.36
105,100,I,15.52
47,45,I,15.58
47,49,I,15.78
168,169,I,15.83
168,171,I,15.88
33,31,I,16.14
168,166,J,16.43
148,150,J,16.55
105,102,K,16.76
160,23,J,17.08
33,32,L,17.34
168,167,J,17.76
100,103,I,18.88
100,179,I,18.88
173,191,I,19.12
105,101,K,19.29
186,189,I,19.67
45,50,I,19.69
171,77,I,21.08
57,56,J,21.37
23,19,I,21.47
167,86,J,22.12
150,183,L,22.30
179,140,I,22.52
23,22,J,22.68
23,21,J,23.60
179,180,J,23.62
179,178,J,24.18
191,192,I,24.91
23,20,J,25.45
19,81,I,26.08
86,6,I,26.28
86,85,I,26.85
86,76,I,27.03
183,181,I,27.50
140,61,J,28.49
191,182,L,29.06
180,177,J,29.67
178,7,J,29.70
86,84,J,30.51
192,190,I,30.85
6,5,I,31.67
6,4,J,33.15
61,60,I,33.37
61,165,I,33.86
7,10,I,34.33
7,9,I,34.69
7,8,I,34.85
61,58,J,36.16
190,154,L,36.66
61,59,J,37.95
7,122,L,37.95
60,71,I,38.61
154,155,I,39.83
154,157,I,41.13
154,156,L,41.27
122,123,I,41.60
154,153,L,41.61
154,158,L,42.16
122,121,I,42.20
155,151,I,44.44
155,152,I,44.92
123,119,I,45.40
121,12,I,47.18
156,16,J,47.38
156,64,J,47.95
156,66,J,48.90
151,144,I,49.67
16,17,I,50.98
12,11,I,51.56
119,117,J,51.69
12,13,J,52.91
64,62,I,53.05
119,120,J,53.24
66,67,I,53.47
66,68,I,53.47
64,63,I,53.98
117,118,I,54.99
144,143,J,55.47
13,75,I,57.24
66,69,J,57.59
11,185,L,57.66
11,106,L,58.64
185,184,J,62.20
75,73,I,62.50
106,107,I,62.73
73,72,I,67.80
73,74,J,70.33
72,136,I,73.02
